0	530	0.416261
1	524	0.411549
2	518	0.406836
3	512	0.402124
4	506	0.397411
5	494	0.406836
6	488	0.402124
7	482	0.397411
8	476	0.387987
9	470	0.383274
0x1	0x0	1
0x2	0x0	1
0x3	0x1	1.99919
0x4	0x0	1
0x5	0x0	1.99933
0x6	0x2	1.99951
0x7	0x3	2.2358
0x8	0x0	0.999921
0x9	0x1	1.99943
0xa	0x2	1.99961
0xb	0x2	2.65695
0xc	0x4	1.99974
0xd	0x4	2.65702
0xe	0x6	2.23557
0xf	0x4	2.65702
0x10	0x0	1
0x11	0x1	1.99987
0x12	0x2	1.99966
0x13	0x1	2.8118
0x14	0x0	1.9998
0x15	0x1	2.23443
0x16	0x6	2.65357
0x17	0x3	2.75882
0x18	0x0	1.9999
0x19	0x1	2.81259
0x1a	0x2	2.65763
0x1b	0x1	2.49715
0x1c	0x4	2.23513
0x1d	0x5	2.75036
0x1e	0xe	2.65895
0x1f	0x2	2.99955
0x20	0x0	1
0x21	0x0	1.99949
0x22	0x2	1.99966
0x23	0x3	2.89722
0x24	0x4	1.99995
0x25	0x4	2.6576
0x26	0x4	2.88216
0x27	0x4	3.00168
0x28	0x0	1.9999
0x29	0x9	2.2335
0x2a	0x2	2.86255
0x2b	0x3	2.92713
0x2c	0x4	2.78437
0x2d	0x5	3.1207
0x2e	0xc	3.01634
0x2f	0x1	3.09337
0x30	0x0	1.99996
0x31	0x10	2.64364
0x32	0x12	2.86415
0x33	0x13	3.27661
0x34	0x4	2.23169
0x35	0x4	2.64245
0x36	0x14	2.9383
0x37	0x4	3.01197
0x38	0x18	2.63127
0x39	0x1	3.09878
0x3a	0x1a	2.74699
0x3b	0x2	3.17387
0x3c	0xc	2.73415
0x3d	0x5	3.23687
0x3e	0x8	3.0098
0x3f	0x1d	3.10121
0x40	0x0	1
0x41	0x1	1.99943
0x42	0x2	1.99961
0x43	0x3	2.90786
0x44	0x4	1.99974
0x45	0x4	2.90689
0x46	0x6	2.9203
0x47	0x4	3.136
0x48	0x0	1.99984
0x49	0x8	2.92555
0x4a	0xa	2.63125
0x4b	0x3	3.41824
0x4c	0x8	2.85584
0x4d	0xd	3.32036
0x4e	0x8	3.01414
0x4f	0x2	3.34878
0x50	0x10	1.9999
0x51	0x1	2.93305
0x52	0x12	2.23255
0x53	0x2	3.0158
0x54	0x4	2.86937
0x55	0x5	3.04001
0x56	0x6	2.95022
0x57	0x16	3.18331
0x58	0x18	2.78041
0x59	0x10	2.77381
0x5a	0x1a	3.11599
0x5b	0x1	3.1209
0x5c	0x18	3.02333
0x5d	0x5	2.99919
0x5e	0x2	3.08148
0x5f	0x1b	3.35421
0x60	0x20	1.9999
0x61	0x20	2.93861
0x62	0x2	2.91222
0x63	0x2	2.80447
0x64	0x4	2.8595
0x65	0x4	3.33762
0x66	0x4	2.66389
0x67	0x5	3.12268
0x68	0x28	2.7803
0x69	0x20	3.03065
0x6a	0x2	3.2841
0x6b	0x20	3
0x6c	0x8	2.72593
0x6d	0x9	3.35452
0x6e	0x4	3.0169
0x6f	0xd	3.4025
0x70	0x10	2.6312
0x71	0x11	3.40668
0x72	0x22	2.95032
0x73	0x2	3.00448
0x74	0x4	2.93163
0x75	0x34	3.35786
0x76	0x2	3.07875
0x77	0x27	3.16016
0x78	0x38	2.48923
0x79	0x39	3.13132
0x7a	0x20	3.17364
0x7b	0x21	3.99903
0x7c	0x14	2.99966
0x7d	0x9	3.72418
0x7e	0x2e	3.19706
0x7f	0x28	3.49894
0x80	0x0	1
0x81	0x1	1.99996
0x82	0x2	1.99951
0x83	0x1	2.94776
0x84	0x0	1.99996
0x85	0x1	2.77277
0x86	0x4	2.92765
0x87	0x1	3.11545
0x88	0x8	1.99974
0x89	0x1	2.93093
0x8a	0x8	2.93627
0x8b	0x8	3.43483
0x8c	0xc	2.88906
0x8d	0x4	3.25518
0x8e	0x2	3.11776
0x8f	0xd	3.43944
0x90	0x10	1.99995
0x91	0x11	2.23078
0x92	0x12	2.88216
0x93	0x1	3.05374
0x94	0x10	2.65151
0x95	0x1	2.72229
0x96	0x4	3.36658
0x97	0x1	3.32067
0x98	0x10	2.85953
0x99	0x11	3.04526
0x9a	0x1a	3.34566
0x9b	0x1	3.36192
0x9c	0x10	3.01819
0x9d	0x5	3.19413
0x9e	0xe	3.3174
0x9f	0x1d	3.44729
0xa0	0x0	1.9998
0xa1	0x21	2.79158
0xa2	0x20	2.91162
0xa3	0x22	3.2957
0xa4	0x20	2.65161
0xa5	0x25	2.49844
0xa6	0x22	3.32646
0xa7	0x1	3.1135
0xa8	0x20	2.86961
0xa9	0x9	3.17989
0xaa	0x2a	2.79063
0xab	0x2a	3.12132
0xac	0x24	3.28379
0xad	0x20	3.0084
0xae	0x8	2.99986
0xaf	0x9	3.48655
0xb0	0x10	2.23161
0xb1	0x11	2.74873
0xb2	0x10	3.0226
0xb3	0x33	3.20825
0xb4	0x4	2.65674
0xb5	0x4	3
0xb6	0x34	3.38125
0xb7	0x13	3.70986
0xb8	0x38	2.93175
0xb9	0x11	3.41187
0xba	0x20	3.14839
0xbb	0x19	3.26838
0xbc	0x18	2.99957
0xbd	0x19	3.67365
0xbe	0x6	3.39175
0xbf	0xc	3.6227
0xc0	0x40	1.99974
0xc1	0x1	2.93148
0xc2	0x40	2.94175
0xc3	0x43	2.75719
0xc4	0x4	2.88906
0xc5	0x4	3.32066
0xc6	0x40	2.78095
0xc7	0x5	3.19009
0xc8	0x40	2.85584
0xc9	0x41	3.39368
0xca	0x42	3.29282
0xcb	0x4b	3.26377
0xcc	0x40	2.69536
0xcd	0x4d	3.26035
0xce	0xa	3.12179
0xcf	0x41	3.56619
0xd0	0x50	2.78418
0xd1	0x11	3.08139
0xd2	0x2	3.02501
0xd3	0x12	3.36518
0xd4	0x44	3.28361
0xd5	0x41	3.22236
0xd6	0x40	2.99986
0xd7	0x41	3.67248
0xd8	0x8	2.72593
0xd9	0x10	3.11976
0xda	0x12	3.32155
0xdb	0x53	3.60459
0xdc	0x40	3.01391
0xdd	0x5c	3.4777
0xde	0x16	3.38568
0xdf	0x4f	3.39061
0xe0	0x20	2.23506
0xe1	0x61	3.10732
0xe2	0x20	3.08031
0xe3	0x1	3.16994
0xe4	0x60	3.01819
0xe5	0x25	3.10511
0xe6	0x46	3.12718
0xe7	0x5	3.53672
0xe8	0x28	3.02337
0xe9	0x28	3.42662
0xea	0x6a	3.0169
0xeb	0x43	3.15441
0xec	0x40	3.01398
0xed	0x9	3.39108
0xee	0x42	3.99931
0xef	0x4c	3.73442
0xf0	0x70	2.73399
0xf1	0x31	3.3218
0xf2	0x70	3.15656
0xf3	0x33	3.6406
0xf4	0x60	2.99957
0xf5	0x25	3.70468
0xf6	0x12	3.17457
0xf7	0x50	3.38109
0xf8	0x58	2.99966
0xf9	0x39	3.61302
0xfa	0x2a	3.19207
0xfb	0x9	3.4668
0xfc	0x5c	3.15625
0xfd	0x60	3.46358
0xfe	0xc	3.41533
0xff	0xd	3.93235
0x100	0x0	1
0x101	0x1	1.99919
0x102	0x2	1.99984
0x103	0x2	2.95581
0x104	0x4	1.99951
0x105	0x1	2.96286
0x106	0x2	2.93944
0x107	0x6	3.15316
0x108	0x0	1.99961
0x109	0x9	2.65788
0x10a	0x2	2.78022
0x10b	0x8	3.31717
0x10c	0x8	2.9415
0x10d	0x9	3.44389
0x10e	0x2	3.11316
0x10f	0xe	3.38696
0x110	0x10	1.99966
0x111	0x10	2.95259
0x112	0x12	2.92583
0x113	0x2	3.34246
0x114	0x4	2.91139
0x115	0x1	3.13846
0x116	0x4	3.43965
0x117	0x14	3.56066
0x118	0x8	2.91252
0x119	0x19	3.26558
0x11a	0x8	3.23195
0x11b	0x13	3.46227
0x11c	0x10	3.08025
0x11d	0x10	3.51423
0x11e	0xe	3.39187
0x11f	0x1d	3.99876
0x120	0x20	1.99966
0x121	0x1	2.65771
0x122	0x2	2.92583
0x123	0x22	3.55884
0x124	0x20	2.88242
0x125	0x20	3.35601
0x126	0x22	3.37022
0x127	0x2	3.73171
0x128	0x28	2.23255
0x129	0x8	2.65724
0x12a	0x2a	3.16699
0x12b	0x29	3.4389
0x12c	0x8	3.02542
0x12d	0xc	3.29785
0x12e	0xc	3.41849
0x12f	0xe	3.67992
0x130	0x10	2.86415
0x131	0x30	3.44431
0x132	0x32	2.72682
0x133	0x10	3.42392
0x134	0x14	3.02299
0x135	0x34	3.48767
0x136	0x6	3.30681
0x137	0x36	3.42571
0x138	0x28	2.95008
0x139	0x1	3.32232
0x13a	0x2	3.09649
0x13b	0x1a	3.59321
0x13c	0xc	3.15656
0x13d	0x2d	3.41471
0x13e	0x1c	3.49475
0x13f	0x1d	3.55118
0x140	0x0	1.99961
0x141	0x41	2.90798
0x142	0x42	2.7799
0x143	0x41	3.46618
0x144	0x44	2.93653
0x145	0x4	2.80776
0x146	0x44	3.32218
0x147	0x6	3.12895
0x148	0x8	2.63129
0x149	0x9	3.34747
0x14a	0x2	2.48926
0x14b	0x41	3.31334
0x14c	0x44	3.29298
0x14d	0x48	3.34962
0x14e	0x2	3.11006
0x14f	0x6	3.78668
0x150	0x40	2.86229
0x151	0x1	3.43889
0x152	0x12	3.16699
0x153	0x12	3.77168
0x154	0x10	2.79068
0x155	0x11	3.11611
0x156	0x54	3.12357
0x157	0x13	3.45452
0x158	0x58	3.28377
0x159	0x1	3.31747
0x15a	0x50	3.01685
0x15b	0x5a	3.59934
0x15c	0x4	3.0169
0x15d	0x19	3.31341
0x15e	0x12	3.4419
0x15f	0x57	3.57984
0x160	0x60	2.65763
0x161	0x41	3.47153
0x162	0x40	3.23203
0x163	0x2	3.26541
0x164	0x20	3.34593
0x165	0x24	3.3233
0x166	0x2	3.27932
0x167	0x47	3.53551
0x168	0x8	3.11599
0x169	0x41	3.32715
0x16a	0x8	3.0171
0x16b	0x6a	3.8559
0x16c	0x4c	3.32155
0x16d	0x68	3.63909
0x16e	0x6a	3.38878
0x16f	0x47	3.58389
0x170	0x10	2.74699
0x171	0x71	3.28325
0x172	0x42	3.09682
0x173	0x43	3.59874
0x174	0x10	3.14839
0x175	0x55	3.53987
0x176	0x26	3.87304
0x177	0x50	3.55714
0x178	0x10	3.1739
0x179	0x58	3.46699
0x17a	0x72	3.60429
0x17b	0x28	3.57998
0x17c	0x2c	3.19184
0x17d	0x39	3.51997
0x17e	0x1a	3.62263
0x17f	0x4f	3.85194
0x180	0x80	1.99951
0x181	0x80	2.94773
0x182	0x82	2.93944
0x183	0x2	2.80121
0x184	0x4	2.92765
0x185	0x84	3.43747
0x186	0x2	2.75879
0x187	0x2	3.16098
0x188	0x88	2.92066
0x189	0x88	3.55875
0x18a	0x8	3.32193
0x18b	0x1	3.44489
0x18c	0x8	2.78095
0x18d	0x5	3.26773
0x18e	0x4	3.16995
0x18f	0xd	3.56049
0x190	0x10	2.88242
0x191	0x1	3.10616
0x192	0x12	3.37043
0x193	0x90	3.13331
0x194	0x84	3.32646
0x195	0x94	3.6191
0x196	0x2	3.2622
0x197	0x90	3.67543
0x198	0x10	2.66396
0x199	0x98	3.31037
0x19a	0x9a	3.27932
0x19b	0x98	3.89018
0x19c	0x14	3.12718
0x19d	0x9c	3.48655
0x19e	0x16	3.56288
0x19f	0xb	3.53709
0x1a0	0x20	2.65398
0x1a1	0x20	3.35719
0x1a2	0x80	3.43965
0x1a3	0xa3	3.47379
0x1a4	0x80	3.36691
0x1a5	0xa1	3.33187
0x1a6	0xa6	3.26237
0x1a7	0x87	3.33779
0x1a8	0x28	2.95053
0x1a9	0x29	3.45567
0x1aa	0xa8	3.12369
0x1ab	0xa8	3.57375
0x1ac	0x8	2.99986
0x1ad	0x9	3.85961
0x1ae	0x2a	3.16699
0x1af	0x87	3.84373
0x1b0	0x10	2.93801
0x1b1	0x80	3.43456
0x1b2	0x82	3.30726
0x1b3	0x11	3.25469
0x1b4	0xb0	3.38076
0x1b5	0xa5	3.99884
0x1b6	0x32	3.43455
0x1b7	0x32	3.73057
0x1b8	0xb8	3.07866
0x1b9	0xa0	3.27721
0x1ba	0x2a	3.87304
0x1bb	0x11	3.66881
0x1bc	0x9c	3.17435
0x1bd	0x81	3.54251
0x1be	0x8e	3.62727
0x1bf	0xa4	4.0071
0x1c0	0x40	2.23534
0x1c1	0xc0	3.16261
0x1c2	0xc2	3.11316
0x1c3	0x1	3.17242
0x1c4	0x40	3.11744
0x1c5	0xc5	3.13902
0x1c6	0x80	3.16962
0x1c7	0x5	3.9988
0x1c8	0xc0	3.01436
0x1c9	0x80	3.7318
0x1ca	0x4a	3.11019
0x1cb	0x9	3.32036
0x1cc	0x8c	3.12173
0x1cd	0x9	3.53458
0x1ce	0xa	3.52018
0x1cf	0x9	3.63083
0x1d0	0x50	3.01622
0x1d1	0x41	3.61918
0x1d2	0xc0	3.41849
0x1d3	0x41	3.75291
0x1d4	0x40	2.99986
0x1d5	0xc0	3.6735
0x1d6	0x12	3.16699
0x1d7	0x87	3.72711
0x1d8	0x80	3.0169
0x1d9	0xc0	3.60486
0x1da	0x82	3.38835
0x1db	0x83	3.47379
0x1dc	0x9c	3.99931
0x1dd	0xd8	3.64074
0x1de	0x98	3.7196
0x1df	0x16	3.8557
0x1e0	0x20	2.65895
0x1e1	0x41	3.34662
0x1e2	0x82	3.39197
0x1e3	0x83	3.52177
0x1e4	0x80	3.31694
0x1e5	0xc0	3.77852
0x1e6	0x46	3.56288
0x1e7	0xc7	3.67356
0x1e8	0x48	3.08148
0x1e9	0xe0	3.67406
0x1ea	0x6a	3.44218
0x1eb	0x29	3.85643
0x1ec	0x4c	3.38568
0x1ed	0x29	3.61268
0x1ee	0xc0	3.71997
0x1ef	0x8e	3.95514
0x1f0	0x40	3.0098
0x1f1	0xc0	3.65331
0x1f2	0x50	3.49457
0x1f3	0x21	3.50843
0x1f4	0x74	3.39153
0x1f5	0xf4	3.72055
0x1f6	0x32	3.62728
0x1f7	0x25	3.9988
0x1f8	0x28	3.19723
0x1f9	0x98	3.62746
0x1fa	0x9a	3.62263
0x1fb	0x32	3.86301
0x1fc	0x74	3.41533
0x1fd	0x58	3.99931
0x1fe	0x8e	3.8632
0x1ff	0x83	3.97063
0x200	0x0	1
0x201	0x0	1.99901
0x202	0x2	1.99919
0x203	0x1	2.9615
0x204	0x4	1.99996
0x205	0x5	2.83522
0x206	0x4	2.94722
0x207	0x6	3.15127
0x208	0x0	1.99943
0x209	0x9	2.95458
0x20a	0x2	2.90744
0x20b	0x2	3.56989
